#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A19B40
#Date Time: 2018-02-10 17:38::25.386

Frequency (Hz),Channel 1 Magnitude (dB)
10,-0.095651144178278566
110.90909090909091,-0.09369668014799408
211.81818181818181,-0.096645909846467426
312.72727272727275,-0.094346584122447175
413.63636363636363,-0.095351473848892657
514.5454545454545,-0.093692826865452217
615.4545454545455,-0.095011268226732892
716.36363636363637,-0.096341442152244619
817.27272727272725,-0.094747035772188848
918.18181818181813,-0.097675783526388449
1019.0909090909091,-0.093920799552684703
1120,-0.096272928182568343
1220.909090909091,-0.093920288758347209
1321.8181818181818,-0.096312628362254793
1422.7272727272727,-0.095355724509544465
1523.6363636363637,-0.092901383495095982
1624.5454545454545,-0.097147566703676996
1725.4545454545455,-0.093029273161946507
1826.3636363636363,-0.098121226784240956
1927.2727272727273,-0.094254200085310894
2028.1818181818182,-0.095096297001968089
2129.090909090909,-0.094275800787851069
2230,-0.095948362099650714
2330.909090909091,-0.094188260377647604
2431.818181818182,-0.097994601968930006
2532.7272727272725,-0.093356157046278365
2633.6363636363635,-0.096395067493998371
2734.5454545454545,-0.092967505130411035
2835.4545454545455,-0.094073539186309132
2936.3636363636365,-0.093290485484477451
3037.2727272727275,-0.091410439752222072
3138.181818181818,-0.09633869190559069
3239.090909090909,-0.092274594115590219
3340,-0.097204255681347218
3440.909090909091,-0.092746203776661457
3541.818181818182,-0.095578663427826477
3642.7272727272725,-0.093934951226005828
3743.6363636363635,-0.093364133259017712
3844.5454545454545,-0.097664273070949562
3945.4545454545455,-0.094653711843709687
4046.3636363636365,-0.092484015383905521
4147.272727272727,-0.097783379617324168
4248.181818181818,-0.093704457736034058
4349.090909090909,-0.095444721733549939
4450,-0.093766844052321052
4550.909090909091,-0.092723105697738742
4651.818181818182,-0.09717063381317495
4752.727272727273,-0.094213785201540723
4853.636363636364,-0.096811514457322986
4954.545454545455,-0.092603612560651069
5055.454545454545,-0.096592694509884655
5156.363636363636,-0.094427703307611646
5257.272727272727,-0.097613231772508011
5358.181818181818,-0.096022270353683659
5459.090909090909,-0.094103267429451395
5560,-0.10237585540131851
5660.909090909091,-0.092726363149707849
5761.818181818182,-0.097276321368604549
5862.727272727273,-0.098076150459446038
5963.636363636364,-0.09690613868446192
6064.545454545455,-0.1003779834806027
6165.454545454545,-0.096954836603737021
6266.363636363636,-0.10174241613596148
6367.272727272727,-0.09847471343053496
6468.181818181818,-0.10261959322286769
6569.090909090909,-0.099460152314470279
6670,-0.10054484142966946
6770.909090909091,-0.098493620295992207
6871.818181818182,-0.10011624013945646
6972.727272727273,-0.10524812869735804
7073.636363636364,-0.10057213822176481
7174.545454545455,-0.10794815724503976
7275.454545454545,-0.10221092832596708
7376.363636363636,-0.09874275752927783
7477.272727272727,-0.11234055519449052
7578.181818181818,-0.10140806735845798
7679.090909090909,-0.10264374475346422
7780,-0.11088860695957048
7880.909090909091,-0.10128568738068112
7981.818181818182,-0.1052845131682366
8082.727272727273,-0.11058617264101803
8183.636363636364,-0.10474989463556987
8284.545454545454,-0.10526201110873429
8385.454545454546,-0.1190885249641669
8486.363636363636,-0.10379813094578064
8587.2727272727279,-0.10765287722758449
8688.181818181818,-0.10624864803950322
8789.0909090909099,-0.11655223203398839
8890,-0.10552872386668381
8990.9090909090901,-0.10844524504767318
9091.818181818182,-0.11195288128501782
9192.7272727272721,-0.11664187590980334
9293.636363636364,-0.11022485152968985
9394.545454545454,-0.10858092662254121
9495.454545454546,-0.11545545452738873
9596.363636363636,-0.1216633928452836
9697.2727272727279,-0.11379690624647983
9798.181818181818,-0.1132371100252044
9899.0909090909099,-0.11259954372878704
10000,-0.11595404346401161
